BCS-1B | C101 | T2001 | F-101 | Mon 08:30-10:00
BCS-2A | C102 | T2002 | F-203 | Tue 10:00-11:30
BCS-2E | C103 | T2003 | A-105 | Wed 11:30-01:00
BCS-3C | C104 | T2004 | C-210 | Thu 01:30-03:00
BSE-4A | C105 | T2005 | B-301 | Fri 09:00-11:00
BSE-5B | C106 | T2007 | D-115 | Mon 12:00-01:30
BBA-6A | C107 | T2003 | C-210 | Tue 02:00-03:30
BCS-7D | C108 | T2005 | F-101 | Wed 03:30-05:30
BSE-8C | C104 | T2004 | A-105 | Thu 08:30-10:00
BBA-1A | C101 | T2001 | F-203 | Fri 10:00-11:30
BCS-4B | C102 | T2002 | C-210 | Mon 01:30-03:00
BSE-3A | C103 | T2003 | B-301 | Tue 08:30-10:00
BBA-5C | C107 | T2003 | D-115 | Wed 10:00-11:30
BCS-6A | C106 | T2007 | A-105 | Thu 12:00-01:30
BSE-7B | C109 | T2007 | E-220 | Fri 01:30-03:00
BBA-8A | C110 | T2008 | G-410 | Mon 03:30-05:00
BCS-1C | C101 | T2001 | F-101 | Tue 11:30-01:00
BSE-2D | C102 | T2002 | E-220 | Wed 08:30-10:00
BBA-3B | C110 | T2008 | G-410 | Thu 10:00-11:30
BSE-3C | SS1015 | T2006 | F-410 | Mon 10:00-11:30
